filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
bs_raw.fast5	05c2c56f-edd8-4f44-bd51-7accff869869	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	54	2	19762.140000	3.103750	3103	TRUE	19762.140000	3103	3.103750	1274	8.197297	0.000000	53.190189	6.648774	53.190189	6.648774
bs_raw.fast5	05d75e95-1c11-48c3-9365-22177f312786	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	309	2	105220.064750	7.543250	7543	TRUE	105220.064750	7543	7.543250	2998	7.726115	0.000000	49.775955	7.187863	49.775955	7.187863
bs_raw.fast5	05de41d2-e369-427d-9523-67cefa9ee820	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	395	1	12011.093250	7.841750	7841	TRUE	12011.093250	7841	7.841750	3162	8.839615	0.000000	50.494743	7.547257	50.494743	7.547257
bs_raw.fast5	05f58739-dd56-43c3-a25b-5a61a4e64811	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	380	1	83659.568750	84.371250	84371	TRUE	83659.568750	84371	84.371250	33911	8.791759	0.000000	48.697777	7.547257	48.697777	7.547257
bs_raw.fast5	05f92850-9d23-4e5e-aef5-66c90b1d0e97	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	420	1	44007.643750	2.340250	2340	TRUE	44007.643750	2340	2.340250	949	9.118320	0.000000	50.854134	7.187863	50.854134	7.187863
bs_raw.fast5	05fe7d5f-7b53-4a80-8042-8c74a37628c5	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	227	3	33045.058250	12.102500	12102	TRUE	33045.058250	12102	12.102500	4877	8.721749	0.000000	49.596260	8.086347	49.596260	8.086347
bs_raw.fast5	0607c1ee-2d81-4d16-9aaa-600a8aeb0e8a	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	181	2	44050.403500	5.668000	5668	TRUE	44050.403500	5668	5.668000	2038	9.007731	0.000000	49.775955	7.726954	49.775955	7.726954
bs_raw.fast5	061290a1-b060-44ee-b1f1-7322d4188b03	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	477	1	139768.939750	17.702000	17702	TRUE	139768.939750	17702	17.702000	6387	8.958469	0.000000	50.315044	8.445740	50.315044	8.445740
bs_raw.fast5	062ab209-684f-4d02-99b2-560a4ff24783	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	482	3	34565.507000	39.046750	39046	TRUE	34565.507000	39046	39.046750	18424	8.145157	0.000000	49.236866	7.906650	49.236866	7.906650
bs_raw.fast5	0631e562-c59a-4e9b-90de-061630c8dc22	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	198	3	128060.087000	4.006000	4006	TRUE	128060.087000	4006	4.006000	1340	8.299236	0.000000	48.158688	5.929987	48.158688	5.929987
